calle,desde_cruce,hasta_cruce,longitud_m,u,v
Pilaló,Mulalillo,Otavalo,62.43,275795327,275795330
Pilaló,Otavalo,Chanchagua,61.68,275795330,275795332
Pilaló,Posorja,Sozoranga,122.19,275795338,275795340
Pilaló,Sozoranga,Sozoranga,9.93,275795340,842306336
Playas,Chantilin,Achupallas,183.2,275795369,275795383
Posorja,Pilaló,Bocana,61.81,275795338,11143163145
Posorja,Sozoranga,Bocana,112.29,286815861,11143163145
S14,Oe5U,Paquisha,200.01,275938600,275938602
S14,Paquisha,Los Encuentros,65.62,275938602,275938604
S14C,El Pangui,SIN_CRUCE_NOMBRADO,69.67,275938613,275938615
S14C,Los Encuentros,SIN_CRUCE_NOMBRADO,67.94,275803266,275938615
S14C,Paquisha,Los Encuentros,64.78,275803258,275803266
S15B,El Pangui,Sozoranga,70.81,275949697,275949706
S15B,Los Encuentros,Sozoranga,68.09,275949703,275949706
S16A,Oe6,SIN_CRUCE_NOMBRADO,57.81,8318041357,8318041358
S16A,SIN_CRUCE_NOMBRADO,Oe5V,58.98,4270582306,7011256849
S16A,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,14.71,275803643,4270582306
S16B,Oe6,SIN_CRUCE_NOMBRADO,61.25,8318041355,8318041356
S17B,Pacifico,Atlantico,31.4,275803286,275803287
S17B,Paquisha,Pacifico,38.7,275803285,275803286
Serapio Japerabi,Sozoranga,Ajavi,124.61,286790229,275803257
Sigchos,Chantilin,Jima,74.45,275795375,275795379
Sigchos,Jima,Achupallas,81.62,275795379,275795385
Sigchos,Oe5U,SIN_CRUCE_NOMBRADO,70.32,275803262,275938594
Sigchos,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,41.07,275938594,275939644
Sigchos,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,39.14,275939644,275939646
Sigchos,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,36.9,275938595,275939646
Sigchos,Toacazo,Achupallas,77.01,275795373,275795385
Sozoranga,Achupallas,Chantilin,256.78,4209613741,4209613743
Sozoranga,Ajavi,S15B,185.16,275803249,275949706
Sozoranga,Ajavi,SIN_CRUCE_NOMBRADO,72.6,275803249,275803273
Sozoranga,Chantilin,Pilaló,97.32,4209613743,275795340
Sozoranga,Chantilin,Toacazo,330.92,275795371,275795323
Sozoranga,Chicaña,SIN_CRUCE_NOMBRADO,81.66,275803236,275803239
Sozoranga,Chicaña,Serapio Japerabi,29.01,275803236,286790229
Sozoranga,Indico,SIN_CRUCE_NOMBRADO,51.96,275803284,3417652695
Sozoranga,Pilaló,Chantilin,95.89,842306336,275795371
Sozoranga,Pilaló,SIN_CRUCE_NOMBRADO,67.87,275795340,286815866
Sozoranga,Posorja,SIN_CRUCE_NOMBRADO,105.24,286815861,286815865
Sozoranga,SIN_CRUCE_NOMBRADO,Pilaló,70.19,286815867,842306336
Sozoranga,SIN_CRUCE_NOMBRADO,Posorja,92.94,286815866,286815861
Sozoranga,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,205.42,286815865,286815867
Sozoranga,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,53.75,3417652693,3417652695
Sozoranga,SIN_CRUCE_NOMBRADO,SIN_CRUCE_NOMBRADO,21.55,275803239,3417652695
Sozoranga,SIN_CRUCE_NOMBRADO,Serapio Japerabi,74.82,275803273,286790229
Sozoranga,SIN_CRUCE_NOMBRADO,Toacazo,65.73,3417652693,4209613740
Sozoranga,Toacazo,Achupallas,74.52,4209613740,4209613741
Sozoranga,Toacazo,Indico,59.62,275795320,275803284
Sozoranga,Toacazo,SIN_CRUCE_NOMBRADO,68.47,275795323,3417652693
Toacazo,Chanchagua,Huigra,63.53,275795351,275795353
Toacazo,Chanchagua,SIN_CRUCE_NOMBRADO,49.17,275795351,275803312
Toacazo,Huigra,Sigchos,75.08,275795353,275795373
Toacazo,Otavalo,SIN_CRUCE_NOMBRADO,15.15,275795349,275803312
Toacazo,Pacifico,Atlantico,32.46,275795317,275803280
Toacazo,Pacifico,Paquisha,36.74,275795317,275803238
Toacazo,Paquisha,Mataje,28.88,275803238,3110266451
Toacazo,Sigchos,Yantzaza,129.59,275795373,275803237
Toacazo,Sozoranga,Atlantico,8.3,275795320,275803280
Toacazo,Sozoranga,Sozoranga,45.19,275795320,4209613740
Toacazo,Sozoranga,Sozoranga,10.22,275795323,4209613740
Toacazo,Yantzaza,Mataje,80.83,275803237,3110266451
Utuana,Chumunde / Huigra,Bocana,200.22,275795360,275795365
Yantzaza,Chicaña,Ajavi,201.21,275803234,275803254
Yantzaza,Chicaña,Toacazo,238.6,275803234,275803237
